Symbol,Security Name,Exchange,ETF
AGL,"agilon health, inc. Common Stock",NYSE,N
AGM,Federal Agricultural Mortgage Corporation Common Stock,NYSE,N
AGM.A,Federal Agricultural Mortgage Corporation Common Stock,NYSE,N
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,N
AGNT,"AGNT, Inc. - Common Stock",NASDAQ,N
AGO,Assured Guaranty Ltd. Common Stock,NYSE,N
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,N
AGX,"Argan, Inc. Common Stock",NYSE,N
AGYS,"Agilysys, Inc. - Common Stock",NASDAQ,N
AHCO,AdaptHealth Corp.  - Common Stock,NASDAQ,N
AHR,"American Healthcare REIT, Inc. Common Stock",NYSE,N
AHRT,"AH Realty Trust, Inc. Common Stock",NYSE,N
AHT,Ashford Hospitality Trust Inc Common Stock,NYSE,N
AI,"C3.ai, Inc. Class A Common Stock",NYSE,N
AIAI,AIAI Holdings Corporation - Class A common stock,NASDAQ,N
AIDX,"20/20 Biolabs, Inc. - Common Stock",NASDAQ,N
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",NASDAQ,N
AIFC,AI Financial Corporation - Common Stock,NASDAQ,N
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",NASDAQ,N
AIG,"American International Group, Inc. New Common Stock",NYSE,N
AIHS,Senmiao Technology Limited - Common Stock,NASDAQ,N
AII,"American Integrity Insurance Group, Inc. Common Stock",NYSE,N
AIMD,"Ainos, Inc. - Common Stock",NASDAQ,N
AIN,Albany International Corporation Common Stock,NYSE,N
AIOT,"PowerFleet, Inc. - Common Stock",NASDAQ,N
AIP,"Arteris, Inc.  - Common Stock",NASDAQ,N
AIR,AAR Corp. Common Stock,NYSE,N
AIRE,reAlpha Tech Corp. - Common Stock,NASDAQ,N
AIRG,"Airgain, Inc. - Common Stock",NASDAQ,N
AIRJ,AirJoule Technologies Corporation - Class A Common Stock,NASDAQ,N
AIRO,"AIRO Group Holdings, Inc. - Common Stock",NASDAQ,N
AIRS,"AirSculpt Technologies, Inc. - Common Stock",NASDAQ,N
AIRT,"Air T, Inc. - Common Stock",NASDAQ,N
AISP,"Airship AI Holdings, Inc - Class A Common Stock",NASDAQ,N
AIT,"Applied Industrial Technologies, Inc. Common Stock",NYSE,N
AIV,Apartment Investment and Management Company Common Stock,NYSE,N
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",NASDAQ,N
AIZ,"Assurant, Inc. Common Stock",NYSE,N
AJG,Arthur J. Gallagher & Co. Common Stock,NYSE,N
AKA,a.k.a. Brands Holding Corp. Common Stock,NYSE,N
AKAM,"Akamai Technologies, Inc. - Common Stock",NASDAQ,N
AKBA,"Akebia Therapeutics, Inc. - Common Stock",NASDAQ,N
AKO.A,Embotelladora Andina S.A. Common Stock,NYSE,N
AKO.B,Embotelladora Andina S.A. Common Stock,NYSE,N
AKR,Acadia Realty Trust Common Stock,NYSE,N
AKTS,"Aktis Oncology, Inc. - Common stock",NASDAQ,N
ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,N
ALB,Albemarle Corporation Common Stock,NYSE,N
ALBT,Avalon GloboCare Corp. - Common Stock,NASDAQ,N
ALCO,"Alico, Inc. - Common Stock",NASDAQ,N
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",NASDAQ,N
ALEC,"Alector, Inc. - Common Stock",NASDAQ,N
ALG,"Alamo Group, Inc. Common Stock",NYSE,N
ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,N
ALGN,"Align Technology, Inc. - Common Stock",NASDAQ,N
ALGS,"Aligos Therapeutics, Inc. - Common stock",NASDAQ,N
ALGT,Allegiant Travel Company - Common Stock,NASDAQ,N
ALH,Alliance Laundry Holdings Inc. Common Stock,NYSE,N
ALHC,"Alignment Healthcare, Inc. - Common Stock",NASDAQ,N
ALIT,"Alight, Inc. Class A Common Stock",NYSE,N
ALK,"Alaska Air Group, Inc. Common Stock",NYSE,N
ALKT,"Alkami Technology, Inc. - Common Stock",NASDAQ,N
ALL,Allstate Corporation (The) Common Stock,NYSE,N
ALLO,"Allogene Therapeutics, Inc. - Common Stock",NASDAQ,N
ALLR,"Allarity Therapeutics, Inc. - Common stock",NASDAQ,N
ALLY,Ally Financial Inc. Common Stock,NYSE,N
ALMR,"Alamar Biosciences, Inc. - Class A common stock",NASDAQ,N
ALMS,Alumis Inc. - Common Stock,NASDAQ,N
ALMU,"Aeluma, Inc. - Common Stock",NASDAQ,N
ALNT,Allient Inc. - Common Stock,NASDAQ,N
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ALOT,"AstroNova, Inc. - Common Stock",NASDAQ,N
ALOY,REalloys Inc. - Common Stock,NASDAQ,N
ALP,Alpha Compute Corp  - Common Stock,NASDAQ,N
ALRM,"Alarm.com Holdings, Inc. - Common Stock",NASDAQ,N
ALRS,Alerus Financial Corporation - Common Stock,NASDAQ,N
ALSN,"Allison Transmission Holdings, Inc. Common Stock",NYSE,N
ALT,"Altimmune, Inc. - Common Stock",NASDAQ,N
ALTG,Alta Equipment Group Inc. Class A Common Stock,NYSE,N
ALTI,"AlTi Global, Inc. - Class A Common Stock",NASDAQ,N
